city,lng,lat,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Zambezi,23.1047,-13.5432,23.5,27,3.49,36,ZM,1623487279
Gunjur,-16.7339,13.2019,26.04,94,0.0,75,GM,1623487279
Philadelphia,-75.1638,39.9523,18.17,91,0.89,90,US,1623487153
Arlit,7.3853,18.7369,40.99,7,3.87,0,NE,1623487045
Westport,-73.3579,41.1415,18.28,89,0.89,90,US,1623487280
Khani,42.9566,41.9563,18.76,56,3.2,19,GE,1623487280
Yarmouth,-70.2286,41.7057,16.12,88,4.02,90,US,1623487257
Varhaug,5.6457,58.6147,13.25,71,9.62,68,NO,1623487282
Irtyshskiy,68.1333,58.3333,25.48,29,3.92,61,RU,1623487282
Vysokaya Gora,49.3017,55.9128,20.1,91,5.23,100,RU,1623487282
Vila Velha,-40.2925,-20.3297,20.97,88,4.63,75,BR,1623487282
Altay,88.1167,47.8667,19.74,30,5.87,0,CN,1623487283
Kudahuvadhoo,72.8944,2.6708,28.7,74,6.0,18,MV,1623487283
Burgeo,-57.6152,47.6167,7.16,83,1.71,29,CA,1623487283
Bariloche,-71.3082,-41.1456,9.86,71,11.83,0,AR,1623487283
Eséka,10.7667,3.65,27.64,76,0.84,91,CM,1623487284
Soubre,-6.6083,5.7856,25.81,81,0.92,100,CI,1623487284
Mount Gambier,140.7667,-37.8333,10.95,93,2.06,100,AU,1623487284
Umred,79.3333,20.85,28.16,40,4.18,89,IN,1623487284
Vanderhoof,-124.0198,54.0166,6.7,70,0.15,100,CA,1623487285
Port-Gentil,8.7815,-0.7193,28.98,74,5.14,40,GA,1623487285
Dunmore Town,-76.65,25.5,26.34,75,4.85,20,BS,1623487285
Mongoumba,18.5936,3.6415,33.42,44,1.52,60,CF,1623487285
Teya,92.6267,60.3778,18.0,37,4.93,75,RU,1623487163
Kawerau,176.7,-38.1,14.26,99,0.18,78,NZ,1623487007
Nanga Eboko,12.3667,4.6833,26.43,66,1.77,99,CM,1623487286
Berlevåg,29.0864,70.8578,17.42,51,9.26,0,NO,1623487020
Waingapu,120.2641,-9.6567,28.11,68,6.61,17,ID,1623487169
Sokolo,-6.1219,14.7328,32.46,39,4.58,59,ML,1623487287
Severomuysk,113.4267,56.1481,9.05,53,1.97,77,RU,1623487287
Calabar,8.322,4.9517,26.78,82,0.65,100,NG,1623487023
Nizwá,57.5333,22.9333,43.43,17,3.59,0,OM,1623487287
Curup,102.5333,-3.4667,25.09,88,0.29,76,ID,1623487288
Batagay,134.6333,67.6333,17.66,33,4.27,68,RU,1623487288
Matagami,-77.6328,49.7502,2.06,93,2.57,1,CA,1623487288
Mazara del Vallo,12.588,37.6641,27.22,55,5.16,97,IT,1623487289
Kruisfontein,24.7314,-34.0033,18.82,29,2.51,70,ZA,1623487289
Cap Malheureux,57.6142,-19.9842,25.27,64,4.02,100,MU,1623487289
Nacala,40.6728,-14.5428,27.62,50,5.66,20,MZ,1623487289
Solano,-121.9511,38.2333,17.86,74,7.2,75,US,1623487289
Rafaela,-61.4867,-31.2503,11.66,77,1.34,9,AR,1623487290
Taltal,-70.4833,-25.4,13.82,76,1.28,39,CL,1623487290
Grand Forks,-97.4337,47.9417,14.96,70,5.14,1,US,1623487290
Livingstone,25.8543,-17.8419,21.73,30,3.9,0,ZM,1623487063
Korla,86.1469,41.7597,25.12,26,1.96,100,CN,1623487291
Qasigiannguit,-51.1922,68.8193,3.14,89,0.89,100,GL,1623487291
Koumac,164.2833,-20.5667,23.31,80,2.07,100,NC,1623487291
Provideniya,-173.3,64.3833,3.9,94,4.73,99,RU,1623487291
Khāsh,61.2158,28.2211,40.3,4,8.07,0,IR,1623487292
Imbituba,-48.6703,-28.24,12.94,90,2.15,54,BR,1623487022
Laguna,-121.4238,38.421,19.16,74,0.0,1,US,1623487292
Barpeta,91.0,26.3167,27.05,89,0.98,87,IN,1623487292
Yaan,8.5667,7.3833,25.48,80,3.1,98,NG,1623487292
Skjervøy,20.9714,70.0311,8.51,99,3.78,100,NO,1623487293
Fereydūnkenār,52.5225,36.6864,29.17,66,4.19,27,IR,1623487294
Jacqueville,-4.4146,5.2052,25.95,80,1.84,100,CI,1623487294
Ericeira,-9.4156,38.9627,24.47,75,1.34,55,PT,1623487294
Elliot Lake,-82.6331,46.3834,12.05,77,2.25,95,CA,1623487294
Bowen,148.2333,-20.0167,20.12,64,5.24,99,AU,1623487294
Dodge City,-100.0171,37.7528,22.36,83,2.68,90,US,1623487295
Birao,22.7882,10.2849,37.05,27,2.57,26,CF,1623487295
Zhangye,100.4517,38.9342,22.32,39,10.78,100,CN,1623487164
Yining,114.5636,29.0361,29.19,83,1.11,98,CN,1623487296
Mayo,-76.5119,38.8876,18.92,89,0.89,100,US,1623487296
Freeport,-73.5832,40.6576,18.9,88,0.45,90,US,1623487296
Soyo,12.3689,-6.1349,26.03,75,2.53,100,AO,1623487072
Domoni,44.5319,-12.2569,26.45,69,5.34,35,KM,1623487297
Lázaro Cárdenas,-102.2,17.9583,26.97,78,1.2,99,MX,1623487297
Caravelas,-39.2481,-17.7125,20.01,95,1.65,90,BR,1623487297
Vila do Maio,-23.2167,15.1333,24.44,87,1.89,70,CV,1623487297
Palekh,41.8572,56.8028,21.69,63,4.45,75,RU,1623487298
Bereda,-7.5406,43.2686,21.9,81,2.95,43,ES,1623487298
Port-Cartier,-66.8654,50.0334,10.12,60,2.78,63,CA,1623487298
Ukiah,-123.2078,39.1502,16.94,87,1.54,90,US,1623487299
Larap,122.6504,14.299,28.11,79,0.39,100,PH,1623487299
Tura,90.2201,25.5198,24.89,94,1.75,100,IN,1623487299
Ocala,-82.1401,29.1872,24.96,97,0.0,1,US,1623487299
Praia da Vitória,-27.0667,38.7333,20.98,88,1.61,75,PT,1623487300
Offa,4.7167,8.15,24.44,81,2.47,100,NG,1623487300
Saldanha,17.9442,-33.0117,12.03,66,1.36,100,ZA,1623487300
Gwembe,27.6069,-16.4975,19.55,38,3.02,0,ZM,1623487300
Saint Anthony,-93.218,45.0205,21.79,61,0.89,1,US,1623487301
Ust'-Ilimsk,102.6619,58.0006,19.31,23,1.96,6,RU,1623487301
Kavieng,150.7967,-2.5744,28.21,74,5.51,6,PG,1623487301
Tierralta,-76.0592,8.1736,23.52,95,1.87,44,CO,1623487301
Formosa,-58.1781,-26.1775,9.99,100,1.03,0,AR,1623487302
Lodwar,35.5973,3.1191,31.7,37,5.34,96,KE,1623487302
Yulara,130.9889,-25.2406,23.91,15,3.09,7,AU,1623487302
Manzhouli,117.4333,49.6,29.1,22,5.82,68,CN,1623487302
Muros,-9.0603,42.7762,24.57,65,3.71,0,ES,1623487302
West Odessa,-102.4988,31.8424,28.01,50,7.2,1,US,1623487303
Pacifica,-122.4869,37.6138,16.79,89,0.45,90,US,1623487103
Sydney,151.2073,-33.8679,13.37,66,2.68,25,AU,1623487125
Hohhot,111.6522,40.8106,31.16,27,4.0,20,CN,1623487213
Buraidah,43.975,26.326,37.25,6,8.89,0,SA,1623487304
Shimoda,138.95,34.6667,25.2,80,3.14,93,JP,1623487252
Iranshahr,60.6848,27.2025,43.19,19,0.0,0,IR,1623487304
Tiznit Province,-9.5,29.5833,25.64,31,2.5,4,MA,1623487304
Tieli,128.05,46.95,25.94,60,2.66,2,CN,1623487304
Yemel'yanovo,92.6767,56.1681,18.45,29,4.0,0,RU,1623487305
Bafia,11.2333,4.75,24.51,85,1.5,100,CM,1623487305
Maicao,-72.2432,11.3832,25.93,85,5.31,64,CO,1623487182
Barra de Tecoanapa,-98.75,16.5167,24.79,88,1.49,100,MX,1623487305
Rock Sound,-76.2,24.9,26.09,77,4.84,40,BS,1623487306
Alghero,8.3181,40.5589,27.05,54,2.57,0,IT,1623487306
Örnsköldsvik,18.7153,63.2909,16.53,94,2.06,75,SE,1623487306
Linhares,-40.0722,-19.3911,19.9,93,2.44,95,BR,1623487306
Salinópolis,-47.3561,-0.6136,23.88,93,4.7,100,BR,1623487307
Tongchuanshi,109.0897,35.0806,31.18,41,6.08,93,CN,1623487307
Parintins,-56.7358,-2.6283,21.94,99,1.23,99,BR,1623487307
Beyneu,55.2,45.3167,32.27,25,2.28,98,KZ,1623487307
Port Moresby,147.1797,-9.4431,26.68,89,7.72,40,PG,1623487238
Ostrovnoy,39.5131,68.0531,22.68,35,9.57,40,RU,1623487308
São Brás de Alportel,-7.8875,37.1531,17.38,88,6.17,90,PT,1623487308
Ucluelet,-125.5528,48.9329,12.27,91,4.81,100,CA,1623487309
Mayumba,10.6554,-3.432,25.95,85,0.68,96,GA,1623487309
Labytnangi,66.4183,66.6572,24.45,35,6.18,100,RU,1623487309
Nushki,66.0215,29.5542,43.12,3,2.96,0,PK,1623487309
Villarrubia de los Ojos,-3.608,39.2209,25.02,34,3.34,0,ES,1623487310
Jaisalmer,70.9181,26.9147,41.2,25,8.66,0,IN,1623486927
Parāsia,78.7667,22.2,32.75,47,6.22,47,IN,1623487310
Lagos,3.75,6.5833,26.18,62,0.86,95,NG,1623487069
Jiuquan,98.5174,39.7432,23.18,37,1.31,60,CN,1623487137
Port Lincoln,135.8667,-34.7333,13.84,65,3.58,100,AU,1623487311
San-Pédro,-6.6363,4.7485,25.97,87,2.19,100,CI,1623487311
Yuxia,108.6291,34.0615,34.34,35,1.69,90,CN,1623487311
Saquena,-73.5167,-4.6667,21.7,99,0.55,55,PE,1623487312
Pangody,74.4859,65.85,13.52,77,6.41,100,RU,1623487312
Sambava,50.1667,-14.2667,25.24,75,4.72,44,MG,1623487257
Longview,-94.7405,32.5007,24.68,93,0.45,40,US,1623487312
Belmonte,-38.8828,-15.8631,21.28,87,2.23,100,BR,1623487312
Esim,-2.2405,4.8699,28.38,75,2.35,100,GH,1623487313
Bengbu,117.3608,32.9408,33.46,43,4.41,100,CN,1623487313
Timucuy,-89.5167,20.8167,24.98,94,2.57,90,MX,1623487313
Port Augusta,137.7667,-32.5,15.08,60,1.67,100,AU,1623487313
Nikel,30.222,69.4128,25.1,30,10.73,1,RU,1623487314
Dayong,118.2898,25.0209,31.82,70,2.88,36,CN,1623487314
Lozuvatka,33.2858,48.0571,22.23,56,4.02,75,UA,1623487314
Aiken,-81.5998,33.5835,23.95,92,4.12,90,US,1623487315
Tezu,96.1667,27.9167,33.33,55,1.32,68,IN,1623487246
Oistins,-59.5333,13.0667,26.05,69,7.72,40,BB,1623487315
Sørland,12.6934,67.667,11.92,84,5.84,73,NO,1623487315
Central Point,-122.9164,42.376,14.07,94,0.0,90,US,1623487315
Maple Creek,-109.4848,49.9168,13.23,62,2.57,13,CA,1623487316
Karasjok,25.5112,69.4719,21.06,42,11.39,93,NO,1623487316
Koulikoro,-7.75,14.0,31.06,43,3.31,97,ML,1623487316
Rochegda,43.25,62.8,26.41,22,4.02,15,RU,1623487316
Itarema,-39.9167,-2.9248,23.54,92,2.77,46,BR,1623487317
Atambua,124.8925,-9.1061,25.26,74,1.27,86,ID,1623487198
Gayny,54.3241,60.3071,23.26,31,4.21,89,RU,1623487317
Dvorichna,37.6857,49.8496,22.12,69,4.34,56,UA,1623487317
Carbonia,8.5222,39.1672,26.66,45,2.97,0,IT,1623487318
Sept-Îles,-66.3821,50.2001,10.29,72,2.57,75,CA,1623487318
Gal'bshtadt,78.9845,53.2264,17.41,35,4.96,99,RU,1623487318
Waipawa,175.5153,-41.4122,12.47,92,2.25,97,NZ,1623487318
Capiíbary,-56.0333,-24.8,9.11,95,1.56,0,PY,1623487319
Ürümqi,87.6005,43.801,23.53,33,4.0,20,CN,1623487088
Bilibino,166.4372,68.0546,9.66,55,0.47,95,RU,1623487320
Aranos,19.1167,-24.1333,21.58,21,9.41,12,NA,1623487218
Vostok,135.8833,46.4856,17.14,88,2.09,31,RU,1623487280
Qeshm,56.2719,26.9581,35.94,50,4.01,0,IR,1623487321
Zhigalovo,105.1578,54.8097,21.12,30,0.63,100,RU,1623487321
Saint-Augustin,-58.6502,51.226,7.97,71,2.94,99,CA,1623487321
Kangaatsiaq,-53.4641,68.3065,2.39,78,2.25,1,GL,1623487321
Kuandian,124.7847,40.7286,25.01,77,3.14,25,CN,1623487322
Saint-Michel-des-Saints,-73.9159,46.6834,10.33,76,1.13,0,CA,1623487322
Verāval,70.3667,20.9,31.47,71,6.85,13,IN,1623487139
Dunedin,170.5036,-45.8742,8.22,86,0.45,96,NZ,1623487215
Ullapool,-5.1604,57.8987,13.75,78,8.55,90,GB,1623487323
Ulaangom,92.0667,49.9811,14.11,73,4.8,92,MN,1623487323
Gualeguay,-59.3097,-33.1416,9.23,86,3.34,2,AR,1623487324
Rocha,-54.3333,-34.4833,10.06,70,5.08,96,UY,1623487085
Beloha,45.05,-25.1667,27.12,35,2.64,0,MG,1623487324
Russkiy Kameshkir,46.0892,52.8589,22.2,66,2.49,81,RU,1623487325
Kalmunai,81.8167,7.4167,33.38,45,2.78,100,LK,1623487325
Semey,80.2275,50.4111,19.12,24,7.0,0,KZ,1623487325
Brae,-1.353,60.3964,9.95,81,10.33,100,GB,1623487026
Northam,-4.2167,51.0333,18.84,89,2.99,80,GB,1623487326
Chicama,-79.1469,-7.8447,18.48,86,1.77,93,PE,1623487326
Siguiri,-9.5,11.6667,28.22,64,1.38,14,GN,1623487326
Mongo,18.693,12.1844,34.7,31,2.72,83,TD,1623487326
Perote,-97.2333,19.5667,11.11,92,0.43,100,MX,1623487326
